Month,Airport,Total Flights,Delayed Flights (15+ mins),Cancelled Flights,Carrier Delay Count,Weather Delay Count,NAS Delay Count,Late Aircraft Delay Count
April,DFW,25098.0,6187.0,577.0,1331.51,496.8,1928.12,2411.37
April,JFK,10153.0,1975.0,109.0,610.8199999999999,54.760000000000005,691.15,614.5400000000001
April,LAX,15888.0,3008.0,41.0,1062.86,89.36,882.64,961.6
April,SFO,10887.0,4710.0,86.0,685.22,77.5,3211.28,730.67
February,DFW,22831.0,3798.0,38.0,1089.23,145.19,1228.97,1317.1499999999999
February,JFK,9249.0,1571.0,127.0,550.22,28.630000000000003,455.56,529.0899999999999
February,LAX,14242.0,2787.0,76.0,927.05,92.25999999999999,1046.23,705.3
February,SFO,9780.0,3739.0,205.0,639.2199999999999,122.49000000000001,2433.57,541.74
July,DFW,29289.0,9168.0,577.0,2448.19,430.39,1930.4,4329.9400000000005
July,JFK,10867.0,3173.0,437.0,956.6700000000001,97.47999999999999,1060.82,1054.22
July,LAX,17651.0,4600.0,437.0,1907.53,162.76000000000002,947.6800000000001,1567.1399999999999
July,SFO,11933.0,2873.0,298.0,986.8,81.32,711.69,1086.49
June,DFW,27864.0,7597.0,541.0,2016.33,497.44,1523.19,3531.67
June,JFK,10459.0,2681.0,360.0,792.84,106.86,989.12,789.0600000000001
June,LAX,16816.0,3954.0,108.0,1511.43,149.91,838.64,1438.1399999999999
June,SFO,10389.0,3312.0,83.0,856.2099999999999,65.89999999999999,1532.1,855.3599999999999
March,DFW,25732.0,6279.0,460.0,1452.47,434.82,1824.57,2542.26
March,JFK,10162.0,2263.0,80.0,671.89,56.63,777.9,752.69
March,LAX,16031.0,3243.0,86.0,1032.84,93.91,984.22,1111.54
March,SFO,11128.0,4695.0,98.0,667.25,76.16,3146.51,798.95
May,DFW,27298.0,9378.0,1741.0,1956.6399999999999,780.6600000000001,3134.02,3492.9
May,JFK,10623.0,2405.0,96.0,746.1400000000001,72.34,796.3100000000001,784.8
May,LAX,16768.0,4097.0,103.0,1377.29,160.20000000000002,1151.09,1393.1
May,SFO,11146.0,4608.0,93.0,894.61,105.28999999999999,2697.18,902.66
