Date,Date,LA Top Dest,LA 2nd Dest,LA 3rd dest,LA 4th Dest,LA 5th Dest,Dallas Top Dest,Dallas 2nd Dest,Dallas 3rd dest,Dallas 4th Dest,Dallas 5th Dest,Denver Top Dest,Denver 2nd Dest,Denver 3rd dest,Denver 4th Dest,Denver 5th Dest
0,2018-01,NYC,LAS,CHI,GDL,DFW,LAX,NYC,CHI,DEN,LAS,NYC,LAX,DFW,CHI,PHX
31,2018-02,NYC,LAS,SEA,CHI,DFW,LAX,NYC,CHI,LAS,DEN,NYC,LAX,DFW,PHX,CHI
59,2018-03,NYC,SEA,CHI,LAS,DFW,LAX,NYC,CHI,LAS,ORL,NYC,LAX,PHX,CHI,DFW
90,2018-04,NYC,SEA,LAS,CHI,LON,LAX,NYC,CHI,ATL,DEN,NYC,LAX,CHI,DFW,PHX
120,2018-05,NYC,SEA,LAS,CHI,GDL,LAX,NYC,CHI,ATL,LAS,NYC,LAX,CHI,PHX,DFW
151,2018-06,NYC,SEA,CHI,LON,LAS,LAX,NYC,CUN,LAS,CHI,NYC,LAX,CHI,DFW,SFO
181,2018-07,NYC,SEA,CHI,LAS,LON,LAX,NYC,LAS,CUN,CHI,NYC,LAX,CHI,DFW,SFO
212,2018-08,NYC,SEA,CHI,LON,LAS,LAX,NYC,LAS,CHI,CUN,NYC,LAX,CHI,DFW,SEA
243,2018-09,NYC,SEA,CHI,LON,LAS,LAX,NYC,LAS,CHI,DEN,NYC,LAX,CHI,SEA,DFW
273,2018-10,NYC,CHI,SEA,LON,SEL,LAX,NYC,LAS,CHI,DEN,NYC,LAX,CHI,DFW,SFO
304,2018-11,NYC,SEA,CHI,DFW,LAS,LAX,NYC,LAS,CHI,DEN,NYC,LAX,CHI,DFW,PHX
334,2018-12,NYC,SEA,CHI,GDL,DFW,LAX,NYC,LAS,CHI,DEN,NYC,LAX,CHI,DFW,PHX
